ATBG01,ATBR01B,ATBR02A,ATDGLIHY,ATDGRIHY,ASRIBM,ASBG10E,ASBR01E,ASBR01F,ASBR07C,ASBR07E,ASBR08A,ASBR08B,ASBR08D,ASBR08E,ASBR08F,ASDGSSB,ASDGERL,ASDGSLR,ASDGSCR,ASBH01L,ASBH01M,ASBH01N,ASBH01Q,ASBH07B,ASBH07C,ASBH07D,ASBH12,ASBH13,ASBH15B,ASDHSES,ASDHELT,ASDHEDUP,ACBG03A,ACBG03B,ACBG05A,ACBG10AA,ACBG10AB,ACBG10AC,ACBG10AD,ACBG10AG,ACBG10AH,ACBG10AI,ACBG10AJ,ACBG10BA,ACBG10BB,ACBG10BC,ACBG10BD,ACBG11D,ACBG11F,ACBG11K,ACBG12A,ACBG12C,ACBG12E,ACBG12G,ACBG12H,ACBG12I,ACBG13,ACBG14E,ACBG14F,ACBG14G,ACBG14H,ACBG14L,ACBG17,ACBG18A,ACBG18B,ACBG19,ACDGEAS,ACDGSBC,ATBG10A,ATBG10B,ATBG10C,ATBG10D,ATBG10E,ATBG10F,ATBG10G,ATBG10H,ATBG10I,ATBG10K,ATBG10L,ATBG11D,ATBG11E,ATBG11F,ATBG11G,ATBG11I,ATBG12A,ATBG12C,ATBG12D,ATBG12F,ATBR03C,ATBR03G,ATBR06C,ATBR06D,ATBR07AB,ATBR07BD,ATBR09A,ATBR09C,ATBR09F,ATBR09G,ATBR10F,ATBR10H,ATBR10K,ATBR12BA,ATBR12C,ATBR12EA,ATBR12EC,ATBR12ED,ATBR13B,ATBR15,ATBR19,ATDGEAS,ATDGSOS,ATDGTJS,ATDGSLI,cluster,cluster_pred
32.0,34.0,1.0,182.0,58.5,4,1,1,3,4,1,2,1,4,4,4,2,2,1,1,1,2,1,2,2,2,2,3,2,6,2,2,1,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,2,2,2,2,2,3,3,3,3,3,2,1,1,1,1,1,2,2,2,2,2,1,4,3,3,3,1,1,1,2,2,3,3,2,4,4,4,4,3,5,5,2,1,2,2,3,3
32.0,34.0,1.0,182.0,58.5,4,1,1,1,3,2,2,3,2,2,2,1,1,2,3,2,2,2,1,1,1,2,2,2,9,2,2,1,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,2,2,2,2,2,3,3,3,3,3,2,1,1,1,1,1,2,2,2,2,2,1,4,3,3,3,1,1,1,2,2,3,3,2,4,4,4,4,3,5,5,2,1,2,2,3,3
32.0,34.0,1.0,182.0,58.5,4,1,1,1,3,1,1,1,3,4,4,1,1,2,1,1,1,1,1,1,1,2,3,3,4,2,1,3,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,2,2,2,2,2,3,3,3,3,3,2,1,1,1,1,1,2,2,2,2,2,1,4,3,3,3,1,1,1,2,2,3,3,2,4,4,4,4,3,5,5,2,1,2,2,4,4
32.0,34.0,1.0,182.0,58.5,4,3,2,2,2,3,3,1,2,3,4,3,2,2,2,2,2,2,2,3,3,2,1,1,4,3,3,3,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,2,2,2,2,2,3,3,3,3,3,2,1,1,1,1,1,2,2,2,2,2,1,4,3,3,3,1,1,1,2,2,3,3,2,4,4,4,4,3,5,5,2,1,2,2,0,0
32.0,34.0,1.0,182.0,58.5,3,1,2,2,4,1,3,2,4,4,4,1,1,2,1,2,2,2,2,2,2,2,5,5,3,2,2,4,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,2,2,2,2,2,3,3,3,3,3,2,1,1,1,1,1,2,2,2,2,2,1,4,3,3,3,1,1,1,2,2,3,3,2,4,4,4,4,3,5,5,2,1,2,2,4,4
32.0,34.0,1.0,182.0,58.5,4,3,3,2,4,1,2,1,4,4,4,2,2,2,1,1,1,1,1,3,3,4,2,2,4,2,3,1,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,2,2,2,2,2,3,3,3,3,3,2,1,1,1,1,1,2,2,2,2,2,1,4,3,3,3,1,1,1,2,2,3,3,2,4,4,4,4,3,5,5,2,1,2,2,3,3
32.0,34.0,1.0,182.0,58.5,3,3,2,4,3,2,2,2,2,4,2,1,2,3,2,2,2,2,2,3,2,2,2,1,3,3,3,3,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,2,2,2,2,2,3,3,3,3,3,2,1,1,1,1,1,2,2,2,2,2,1,4,3,3,3,1,1,1,2,2,3,3,2,4,4,4,4,3,5,5,2,1,2,2,0,0
32.0,34.0,1.0,182.0,58.5,3,3,2,1,3,3,3,4,1,1,3,2,1,2,3,2,2,2,3,3,3,3,1,1,4,3,3,3,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,2,2,2,2,2,3,3,3,3,3,2,1,1,1,1,1,2,2,2,2,2,1,4,3,3,3,1,1,1,2,2,3,3,2,4,4,4,4,3,5,5,2,1,2,2,0,0
32.0,34.0,1.0,182.0,58.5,3,1,1,4,4,1,4,1,4,3,1,1,2,2,3,1,1,1,1,2,2,2,1,1,9,2,2,1,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,2,2,2,2,2,3,3,3,3,3,2,1,1,1,1,1,2,2,2,2,2,1,4,3,3,3,1,1,1,2,2,3,3,2,4,4,4,4,3,5,5,2,1,2,2,3,3
32.0,34.0,1.0,182.0,58.5,3,2,2,2,3,2,3,2,3,3,4,2,2,2,2,1,1,2,2,1,1,1,2,2,4,2,1,3,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,2,2,2,2,2,3,3,3,3,3,2,1,1,1,1,1,2,2,2,2,2,1,4,3,3,3,1,1,1,2,2,3,3,2,4,4,4,4,3,5,5,2,1,2,2,3,3
32.0,34.0,1.0,182.0,58.5,3,1,2,1,2,3,2,3,1,2,2,1,1,2,3,2,2,3,2,2,3,3,1,2,9,2,2,1,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,2,2,2,2,2,3,3,3,3,3,2,1,1,1,1,1,2,2,2,2,2,1,4,3,3,3,1,1,1,2,2,3,3,2,4,4,4,4,3,5,5,2,1,2,2,0,0
32.0,34.0,1.0,182.0,58.5,4,2,2,2,3,2,2,2,3,3,3,2,2,2,2,2,1,1,1,3,3,3,3,3,6,2,3,1,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,2,2,2,2,2,3,3,3,3,3,2,1,1,1,1,1,2,2,2,2,2,1,4,3,3,3,1,1,1,2,2,3,3,2,4,4,4,4,3,5,5,2,1,2,2,3,3
32.0,34.0,1.0,182.0,58.5,4,2,2,2,4,2,2,2,3,2,4,1,1,2,2,1,1,1,2,1,1,2,1,1,3,3,2,4,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,2,2,2,2,2,3,3,3,3,3,2,1,1,1,1,1,2,2,2,2,2,1,4,3,3,3,1,1,1,2,2,3,3,2,4,4,4,4,3,5,5,2,1,2,2,0,4
32.0,34.0,1.0,182.0,58.5,4,1,1,4,4,1,1,1,3,3,3,1,1,1,2,2,1,1,2,2,2,2,3,2,4,2,2,3,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,2,2,2,2,2,3,3,3,3,3,2,1,1,1,1,1,2,2,2,2,2,1,4,3,3,3,1,1,1,2,2,3,3,2,4,4,4,4,3,5,5,2,1,2,2,4,4
32.0,34.0,1.0,182.0,58.5,3,2,3,3,3,4,4,4,3,2,2,2,3,3,3,2,1,2,3,1,1,2,3,1,9,2,1,1,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,2,2,2,2,2,3,3,3,3,3,2,1,1,1,1,1,2,2,2,2,2,1,4,3,3,3,1,1,1,2,2,3,3,2,4,4,4,4,3,5,5,2,1,2,2,0,3
32.0,34.0,1.0,182.0,58.5,4,1,1,1,4,1,1,1,4,4,4,1,1,1,1,1,2,2,2,1,1,2,1,3,4,2,2,3,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,2,2,2,2,2,3,3,3,3,3,2,1,1,1,1,1,2,2,2,2,2,1,4,3,3,3,1,1,1,2,2,3,3,2,4,4,4,4,3,5,5,2,1,2,2,4,4
32.0,34.0,1.0,182.0,58.5,3,2,1,1,4,2,2,2,4,4,4,1,1,2,2,2,2,2,2,2,3,3,1,1,2,2,3,1,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,2,2,2,2,2,3,3,3,3,3,2,1,1,1,1,1,2,2,2,2,2,1,4,3,3,3,1,1,1,2,2,3,3,2,4,4,4,4,3,5,5,2,1,2,2,0,0
32.0,34.0,1.0,182.0,58.5,2,2,3,3,1,3,2,2,2,2,2,2,3,3,3,2,2,2,2,3,2,3,1,2,6,2,2,2,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,2,2,2,2,2,3,3,3,3,3,2,1,1,1,1,1,2,2,2,2,2,1,4,3,3,3,1,1,1,2,2,3,3,2,4,4,4,4,3,5,5,2,1,2,2,5,5
32.0,34.0,1.0,182.0,58.5,4,1,2,1,4,1,2,2,3,3,4,1,1,2,2,2,2,2,2,2,2,2,1,1,3,3,2,4,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,2,2,2,2,2,3,3,3,3,3,2,1,1,1,1,1,2,2,2,2,2,1,4,3,3,3,1,1,1,2,2,3,3,2,4,4,4,4,3,5,5,2,1,2,2,0,0
32.0,34.0,1.0,182.0,58.5,3,1,2,2,2,2,3,3,2,2,1,1,2,2,3,1,1,1,1,3,3,3,3,2,6,2,3,2,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,2,2,2,2,2,3,3,3,3,3,2,1,1,1,1,1,2,2,2,2,2,1,4,3,3,3,1,1,1,2,2,3,3,2,4,4,4,4,3,5,5,2,1,2,2,3,3
32.0,34.0,1.0,182.0,58.5,4,1,2,4,4,1,1,1,4,4,4,1,2,2,1,2,2,2,3,2,2,3,1,2,4,3,2,3,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,2,2,2,2,2,3,3,3,3,3,2,1,1,1,1,1,2,2,2,2,2,1,4,3,3,3,1,1,1,2,2,3,3,2,4,4,4,4,3,5,5,2,1,2,2,4,0
32.0,34.0,1.0,182.0,58.5,4,2,2,1,4,1,1,2,3,3,4,2,2,1,2,1,1,2,1,2,2,2,3,3,3,2,2,5,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,2,2,2,2,2,3,3,3,3,3,2,1,1,1,1,1,2,2,2,2,2,1,4,3,3,3,1,1,1,2,2,3,3,2,4,4,4,4,3,5,5,2,1,2,2,4,4
32.0,34.0,1.0,182.0,58.5,3,2,2,1,4,1,2,2,4,4,3,2,1,1,2,1,1,2,1,2,3,3,2,3,4,2,2,2,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,2,2,2,2,2,3,3,3,3,3,2,1,1,1,1,1,2,2,2,2,2,1,4,3,3,3,1,1,1,2,2,3,3,2,4,4,4,4,3,5,5,2,1,2,2,3,3
32.0,34.0,1.0,182.0,58.5,5,3,2,2,3,3,2,2,3,3,4,2,2,2,2,2,2,2,3,2,2,3,1,1,5,2,2,1,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,2,2,2,2,2,3,3,3,3,3,2,1,1,1,1,1,2,2,2,2,2,1,4,3,3,3,1,1,1,2,2,3,3,2,4,4,4,4,3,5,5,2,1,2,2,0,0
32.0,34.0,1.0,182.0,58.5,3,2,1,1,4,1,1,1,4,4,4,1,1,1,1,2,2,2,2,2,2,2,1,1,2,3,2,3,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,2,2,2,2,2,3,3,3,3,3,2,1,1,1,1,1,2,2,2,2,2,1,4,3,3,3,1,1,1,2,2,3,3,2,4,4,4,4,3,5,5,2,1,2,2,4,0
7.0,34.0,7.0,156.0,78.0,3,2,1,2,2,1,2,2,2,1,2,2,1,2,3,2,2,2,2,3,4,4,3,4,3,2,3,3,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,4,3,3,3,5,5,5,3,4,3,2,2,3,4,3,2,1,2,1,2,1,2,3,3,3,4,3,2,3,3,1,4,4,2,4,4,4,4,4,2,5,3,2,2,2,1,5
7.0,34.0,7.0,156.0,78.0,5,2,2,2,2,2,1,1,2,3,4,1,1,2,2,1,1,1,1,1,1,1,5,3,6,1,1,1,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,4,3,3,3,5,5,5,3,4,3,2,2,3,4,3,2,1,2,1,2,1,2,3,3,3,4,3,2,3,3,1,4,4,2,4,4,4,4,4,2,5,3,2,2,2,4,1
7.0,34.0,7.0,156.0,78.0,3,1,1,1,4,1,3,3,2,3,2,1,1,2,3,2,2,2,2,1,2,2,1,2,2,2,2,4,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,4,3,3,3,5,5,5,3,4,3,2,2,3,4,3,2,1,2,1,2,1,2,3,3,3,4,3,2,3,3,1,4,4,2,4,4,4,4,4,2,5,3,2,2,2,5,5
7.0,34.0,7.0,156.0,78.0,4,1,2,1,4,3,4,3,2,4,1,1,1,2,3,2,2,1,1,2,2,3,2,2,4,2,2,3,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,4,3,3,3,5,5,5,3,4,3,2,2,3,4,3,2,1,2,1,2,1,2,3,3,3,4,3,2,3,3,1,4,4,2,4,4,4,4,4,2,5,3,2,2,2,1,1
7.0,34.0,7.0,156.0,78.0,4,2,2,2,1,4,3,2,2,2,1,2,2,3,3,1,1,2,1,2,2,2,1,2,6,2,2,1,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,4,3,3,3,5,5,5,3,4,3,2,2,3,4,3,2,1,2,1,2,1,2,3,3,3,4,3,2,3,3,1,4,4,2,4,4,4,4,4,2,5,3,2,2,2,1,1
7.0,34.0,7.0,156.0,78.0,3,1,2,1,4,2,3,3,2,2,4,1,1,1,3,2,2,2,1,1,1,1,5,3,6,1,1,3,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,4,3,3,3,5,5,5,3,4,3,2,2,3,4,3,2,1,2,1,2,1,2,3,3,3,4,3,2,3,3,1,4,4,2,4,4,4,4,4,2,5,3,2,2,2,1,1
7.0,34.0,7.0,156.0,78.0,4,1,1,1,4,1,2,3,3,4,4,1,1,1,2,2,2,2,2,1,1,1,1,1,3,3,1,3,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,4,3,3,3,5,5,5,3,4,3,2,2,3,4,3,2,1,2,1,2,1,2,3,3,3,4,3,2,3,3,1,4,4,2,4,4,4,4,4,2,5,3,2,2,2,1,1
7.0,34.0,7.0,156.0,78.0,5,1,1,1,4,1,1,1,4,4,4,1,1,1,1,2,2,2,2,3,3,3,2,2,3,3,3,4,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,4,3,3,3,5,5,5,3,4,3,2,2,3,4,3,2,1,2,1,2,1,2,3,3,3,4,3,2,3,3,1,4,4,2,4,4,4,4,4,2,5,3,2,2,2,4,4
7.0,34.0,7.0,156.0,78.0,4,4,3,1,4,1,1,1,4,1,4,2,1,1,2,2,1,2,2,1,1,2,1,3,4,2,2,3,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,4,3,3,3,5,5,5,3,4,3,2,2,3,4,3,2,1,2,1,2,1,2,3,3,3,4,3,2,3,3,1,4,4,2,4,4,4,4,4,2,5,3,2,2,2,1,1
7.0,34.0,7.0,156.0,78.0,3,3,2,2,2,3,1,3,1,1,2,2,2,2,3,2,1,1,2,2,3,2,2,1,4,3,2,5,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,4,3,3,3,5,5,5,3,4,3,2,2,3,4,3,2,1,2,1,2,1,2,3,3,3,4,3,2,3,3,1,4,4,2,4,4,4,4,4,2,5,3,2,2,2,1,1
7.0,34.0,7.0,156.0,78.0,5,1,1,1,4,1,2,1,4,4,4,1,1,1,1,1,1,1,1,1,1,1,5,5,4,1,1,2,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,4,3,3,3,5,5,5,3,4,3,2,2,3,4,3,2,1,2,1,2,1,2,3,3,3,4,3,2,3,3,1,4,4,2,4,4,4,4,4,2,5,3,2,2,2,4,4
7.0,34.0,7.0,156.0,78.0,4,1,2,3,2,2,3,2,2,2,3,2,2,2,3,1,1,1,1,2,2,2,3,4,6,2,2,2,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,4,3,3,3,5,5,5,3,4,3,2,2,3,4,3,2,1,2,1,2,1,2,3,3,3,4,3,2,3,3,1,4,4,2,4,4,4,4,4,2,5,3,2,2,2,1,1
7.0,34.0,7.0,156.0,78.0,4,1,2,3,3,2,2,3,3,3,3,1,2,2,2,2,2,2,2,2,3,3,3,3,3,2,3,3,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,4,3,3,3,5,5,5,3,4,3,2,2,3,4,3,2,1,2,1,2,1,2,3,3,3,4,3,2,3,3,1,4,4,2,4,4,4,4,4,2,5,3,2,2,2,1,1
7.0,34.0,7.0,156.0,78.0,3,3,1,2,1,3,2,2,2,2,3,3,2,3,3,1,1,1,2,1,2,2,1,1,3,3,2,4,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,4,3,3,3,5,5,5,3,4,3,2,2,3,4,3,2,1,2,1,2,1,2,3,3,3,4,3,2,3,3,1,4,4,2,4,4,4,4,4,2,5,3,2,2,2,1,1
7.0,34.0,7.0,156.0,78.0,4,2,2,3,4,1,3,3,3,4,4,2,2,3,2,2,2,1,1,2,2,2,2,3,5,2,2,3,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,4,3,3,3,5,5,5,3,4,3,2,2,3,4,3,2,1,2,1,2,1,2,3,3,3,4,3,2,3,3,1,4,4,2,4,4,4,4,4,2,5,3,2,2,2,1,1
7.0,34.0,7.0,156.0,78.0,4,1,1,2,2,2,2,1,2,2,3,1,1,2,2,2,2,2,2,2,2,2,1,1,3,3,2,3,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,4,3,3,3,5,5,5,3,4,3,2,2,3,4,3,2,1,2,1,2,1,2,3,3,3,4,3,2,3,3,1,4,4,2,4,4,4,4,4,2,5,3,2,2,2,1,1
7.0,34.0,7.0,156.0,78.0,4,1,2,1,4,1,2,2,3,4,4,1,2,1,2,1,2,1,1,2,2,2,3,3,4,2,2,3,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,4,3,3,3,5,5,5,3,4,3,2,2,3,4,3,2,1,2,1,2,1,2,3,3,3,4,3,2,3,3,1,4,4,2,4,4,4,4,4,2,5,3,2,2,2,1,1
7.0,34.0,7.0,156.0,78.0,4,1,2,1,2,2,2,3,1,2,1,1,1,3,3,2,2,2,2,2,2,2,1,2,4,3,2,3,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,4,3,3,3,5,5,5,3,4,3,2,2,3,4,3,2,1,2,1,2,1,2,3,3,3,4,3,2,3,3,1,4,4,2,4,4,4,4,4,2,5,3,2,2,2,1,1
26.0,25.0,1.0,182.0,39.0,3,1,1,1,3,1,2,1,2,2,3,1,1,1,2,1,2,2,1,1,2,2,2,2,3,2,2,3,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,2,2,2,2,2,3,3,2,4,3,2,1,1,1,1,3,2,2,2,2,2,1,2,2,2,2,2,2,4,2,2,2,3,2,4,4,4,4,4,3,5,2,1,2,1,4,0
26.0,25.0,1.0,182.0,39.0,5,3,1,3,3,3,2,1,3,4,3,2,2,3,1,3,2,1,2,2,2,2,2,1,6,2,2,2,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,2,2,2,2,2,3,3,2,4,3,2,1,1,1,1,3,2,2,2,2,2,1,2,2,2,2,2,2,4,2,2,2,3,2,4,4,4,4,4,3,5,2,1,2,1,4,0
26.0,25.0,1.0,182.0,39.0,3,1,2,2,2,3,3,2,4,4,2,2,1,3,2,3,1,1,1,1,1,1,2,1,3,3,1,3,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,2,2,2,2,2,3,3,2,4,3,2,1,1,1,1,3,2,2,2,2,2,1,2,2,2,2,2,2,4,2,2,2,3,2,4,4,4,4,4,3,5,2,1,2,1,5,5
26.0,25.0,1.0,182.0,39.0,3,4,2,1,2,3,3,2,1,2,3,2,2,2,3,2,2,2,2,2,2,3,3,3,4,2,2,3,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,2,2,2,2,2,3,3,2,4,3,2,1,1,1,1,3,2,2,2,2,2,1,2,2,2,2,2,2,4,2,2,2,3,2,4,4,4,4,4,3,5,2,1,2,1,5,5
26.0,25.0,1.0,182.0,39.0,4,2,2,2,3,2,2,1,3,3,3,2,1,2,2,2,2,2,2,2,3,3,2,2,3,2,2,3,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,2,2,2,2,2,3,3,2,4,3,2,1,1,1,1,3,2,2,2,2,2,1,2,2,2,2,2,2,4,2,2,2,3,2,4,4,4,4,4,3,5,2,1,2,1,0,0
26.0,25.0,1.0,182.0,39.0,4,3,3,3,2,2,2,1,2,2,2,2,2,3,3,1,2,1,1,2,2,2,2,2,5,3,2,4,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,2,2,2,2,2,3,3,2,4,3,2,1,1,1,1,3,2,2,2,2,2,1,2,2,2,2,2,2,4,2,2,2,3,2,4,4,4,4,4,3,5,2,1,2,1,1,1
26.0,25.0,1.0,182.0,39.0,3,2,2,2,4,3,3,2,2,2,2,2,2,3,3,2,1,1,2,3,3,3,2,2,3,3,3,4,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,2,2,2,2,2,3,3,2,4,3,2,1,1,1,1,3,2,2,2,2,2,1,2,2,2,2,2,2,4,2,2,2,3,2,4,4,4,4,4,3,5,2,1,2,1,0,0
26.0,25.0,1.0,182.0,39.0,3,2,3,2,1,4,4,3,1,1,2,2,2,3,3,2,2,2,2,2,2,3,2,1,3,3,3,5,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,2,2,2,2,2,3,3,2,4,3,2,1,1,1,1,3,2,2,2,2,2,1,2,2,2,2,2,2,4,2,2,2,3,2,4,4,4,4,4,3,5,2,1,2,1,0,0
26.0,25.0,1.0,182.0,39.0,5,1,2,1,4,1,2,1,4,4,4,1,1,2,1,3,2,3,1,1,1,2,1,1,4,3,2,4,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,2,2,2,2,2,3,3,2,4,3,2,1,1,1,1,3,2,2,2,2,2,1,2,2,2,2,2,2,4,2,2,2,3,2,4,4,4,4,4,3,5,2,1,2,1,4,4
26.0,25.0,1.0,182.0,39.0,3,1,3,1,1,1,2,3,2,3,4,2,2,2,2,2,2,2,2,2,3,3,1,1,2,3,3,5,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,2,2,2,2,2,3,3,2,4,3,2,1,1,1,1,3,2,2,2,2,2,1,2,2,2,2,2,2,4,2,2,2,3,2,4,4,4,4,4,3,5,2,1,2,1,0,0
26.0,25.0,1.0,182.0,39.0,3,1,2,1,1,4,3,2,2,4,4,1,1,3,2,1,1,1,1,2,2,2,2,1,4,3,2,3,2,2,1,2,2,3,3,2,2,3,2,2,2,3,2,1,2,3,1,1,1,1,1,1,4,1,1,4,2,4,3,1,1,5,2,2,2,2,2,2,2,3,3,2,4,3,2,1,1,1,1,3,2,2,2,2,2,1,2,2,2,2,2,2,4,2,2,2,3,2,4,4,4,4,4,3,5,2,1,2,1,0,0
