ASDAGE,ACBG09,ACBG15,ACBG16,ACDGTIHY,ATBG01,ATBR01A,ATBR02B,ATDGLIHY,ATDGRIHY,ASRIBM,ASBG04,ASBG09B,ASBG09D,ASBG09E,ASBG09F,ASBG10A,ASBG10B,ASBG10C,ASBG10E,ASBR01A,ASBR01B,ASBR01C,ASBR01D,ASBR01E,ASBR01F,ASBR01G,ASBR01I,ASBR02B,ASBR03A,ASBR03B,ASBR03C,ASBR05,ASBR06A,ASBR06B,ASBR07A,ASBR07B,ASBR07C,ASBR07D,ASBR07E,ASBR07F,ASBR07G,ASBR07H,ASBR08A,ASBR08B,ASBR08C,ASBR08D,ASBR08E,ASBR08F,ASDGSEC,ASDGSSB,ASDGERL,ASDGSLR,ASDGSCR,ASBH01A,ASBH01B,ASBH01C,ASBH01D,ASBH01E,ASBH01F,ASBH01G,ASBH01H,ASBH01I,ASBH01J,ASBH01K,ASBH01L,ASBH01M,ASBH01N,ASBH01O,ASBH01P,ASBH01Q,ASBH01R,ASBH07A,ASBH07B,ASBH07C,ASBH07D,ASBH07E,ASBH07G,ASBH08E,ASBH11F,ASBH11G,ASBH12,ASBH13,ASBH15B,ASBH17A,ASBH17B,ASDGHRL,ASDHSES,ASDHELA,ASDHENA,ASDHELN,ASDHELT,ASDHEDUP,ASDHOCCP,ACBG03A,ACBG03B,ACBG05B,ACBG10AB,ACBG10AC,ACBG10AD,ACBG10AE,ACBG10AF,ACBG10AG,ACBG10AH,ACBG10AI,ACBG10BB,ACBG10BC,ACBG10BD,ACBG11A,ACBG11C,ACBG11D,ACBG11F,ACBG11G,ACBG11J,ACBG11K,ACBG11L,ACBG12C,ACBG13,ACBG14E,ACBG14F,ACBG14G,ACBG14H,ACBG14I,ACBG14J,ACBG14K,ACBG14L,ACBG14M,ACBG14N,ACBG18B,ACBG19,ACDGEAS,ACDGSBC,ATBG05AD,ATBG05BB,ATBG05BE,ATBG05BF,ATBG05BH,ATBG06,ATBG07BB,ATBG07AD,ATBG07BD,ATBG07AF,ATBG07AG,ATBG07BG,ATBG08A,ATBG08C,ATBG10A,ATBG10B,ATBG10C,ATBG10D,ATBG10E,ATBG10F,ATBG10G,ATBG10H,ATBG10I,ATBG10J,ATBG10K,ATBG10L,ATBG11B,ATBG11D,ATBG11E,ATBG11F,ATBG11G,ATBG11H,ATBG11I,ATBG12A,ATBG12B,ATBG12C,ATBG12D,ATBG12E,ATBG12F,ATBR03A,ATBR03E,ATBR03F,ATBR03G,ATBR03H,ATBR06A,ATBR06C,ATBR06E,ATBR07AA,ATBR07AB,ATBR07BA,ATBR07BB,ATBR07BC,ATBR08A,ATBR08B,ATBR08C,ATBR08D,ATBR08E,ATBR08F,ATBR08H,ATBR09D,ATBR09F,ATBR09G,ATBR09H,ATBR10A,ATBR10H,ATBR10I,ATBR10J,ATBR10L,ATBR11A,ATBR11B,ATBR11E,ATBR12A,ATBR12BC,ATBR12C,ATBR12DC,ATBR12EA,ATBR12ED,ATBR13B,ATBR13C,ATBR13D,ATBR14,ATBR16,ATBR17A,ATBR17B,ATBR17C,ATBR18C,ATBR18D,ATBR18E,ATBR19,ATDGEAS,ATDGSOS,ATDGTJS,ATDGSLI,cluster,cluster_pred
10.0,150.0,9.0,5.0,1120.0,9.0,31.0,6.0,144.0,47.99999999999999,4,1,4,3,4,2,1,2,1,2,4,4,2,2,2,2,2,3,3,4,4,4,1,4,4,4,1,1,4,4,4,4,4,3,4,4,4,4,1,2,2,3,3,2,3,2,3,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,2,2,1,2,2,3,1,1,2,3,6,2,3,2,2,2,2,2,2,4,2,1,3,2,4,3,3,3,1,4,3,3,3,2,3,3,3,3,3,3,2,1,2,1,1,1,2,3,2,1,2,3,2,1,2,3,3,2,3,1,1,1,1,2,2,3,1,2,2,2,2,3,3,3,3,3,2,4,3,3,3,3,2,1,2,1,3,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,3,4,3,4,3,4,4,1,1,2,1,1,2,4,3,3,3,4,1,2,2,3,3,1,2,4,2,2,4,3,4,4,4,3,1,4,2,1,1,1,1,1,3,5,3,2,2,1,5,5
10.83,150.0,9.0,5.0,1120.0,9.0,31.0,6.0,144.0,47.99999999999999,2,1,1,3,3,1,4,3,4,4,2,3,3,3,4,2,3,2,4,3,3,4,1,3,3,4,2,1,3,3,2,3,3,4,3,2,4,4,4,2,3,3,3,2,2,2,2,3,2,3,2,2,2,2,2,2,1,1,2,2,2,3,1,1,2,2,1,1,1,2,2,1,1,4,6,1,3,3,2,2,2,1,5,4,4,2,1,3,2,4,3,3,3,1,4,3,3,3,2,3,3,3,3,3,3,2,1,2,1,1,1,2,3,2,1,2,3,2,1,2,3,3,2,3,1,1,1,1,2,2,3,1,2,2,2,2,3,3,3,3,3,2,4,3,3,3,3,2,1,2,1,3,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,3,4,3,4,3,4,4,1,1,2,1,1,2,4,3,3,3,4,1,2,2,3,3,1,2,4,2,2,4,3,4,4,4,3,1,4,2,1,1,1,1,1,3,5,3,2,2,1,2,2
13.0,150.0,9.0,5.0,1120.0,9.0,31.0,6.0,144.0,47.99999999999999,4,2,3,3,4,1,2,1,2,1,2,2,1,1,2,1,2,1,3,3,3,2,1,3,4,1,2,3,3,2,1,3,4,2,2,1,2,3,2,2,1,2,3,3,2,2,3,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,2,3,6,4,2,3,2,2,2,1,4,2,4,2,1,3,2,4,3,3,3,1,4,3,3,3,2,3,3,3,3,3,3,2,1,2,1,1,1,2,3,2,1,2,3,2,1,2,3,3,2,3,1,1,1,1,2,2,3,1,2,2,2,2,3,3,3,3,3,2,4,3,3,3,3,2,1,2,1,3,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,3,4,3,4,3,4,4,1,1,2,1,1,2,4,3,3,3,4,1,2,2,3,3,1,2,4,2,2,4,3,4,4,4,3,1,4,2,1,1,1,1,1,3,5,3,2,2,1,5,5
9.92,150.0,9.0,5.0,1120.0,9.0,31.0,6.0,144.0,47.99999999999999,3,3,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,1,4,4,4,1,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,4,3,7,2,2,2,2,2,2,4,2,4,2,1,3,2,4,3,3,3,1,4,3,3,3,2,3,3,3,3,3,3,2,1,2,1,1,1,2,3,2,1,2,3,2,1,2,3,3,2,3,1,1,1,1,2,2,3,1,2,2,2,2,3,3,3,3,3,2,4,3,3,3,3,2,1,2,1,3,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,3,4,3,4,3,4,4,1,1,2,1,1,2,4,3,3,3,4,1,2,2,3,3,1,2,4,2,2,4,3,4,4,4,3,1,4,2,1,1,1,1,1,3,5,3,2,2,1,2,5
10.08,150.0,9.0,5.0,1120.0,9.0,31.0,6.0,144.0,47.99999999999999,3,3,4,4,4,2,3,1,2,3,2,1,1,1,2,2,2,2,2,2,1,3,2,2,3,3,1,3,2,1,1,2,1,2,2,2,3,3,3,3,3,2,2,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,2,3,4,4,4,3,4,3,1,1,2,4,5,11,3,2,2,2,1,1,3,2,1,4,2,1,3,2,4,3,3,3,1,4,3,3,3,2,3,3,3,3,3,3,2,1,2,1,1,1,2,3,2,1,2,3,2,1,2,3,3,2,3,1,1,1,1,2,2,3,1,2,2,2,2,3,3,3,3,3,2,4,3,3,3,3,2,1,2,1,3,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,3,4,3,4,3,4,4,1,1,2,1,1,2,4,3,3,3,4,1,2,2,3,3,1,2,4,2,2,4,3,4,4,4,3,1,4,2,1,1,1,1,1,3,5,3,2,2,1,5,5
9.75,150.0,9.0,5.0,1120.0,9.0,31.0,6.0,144.0,47.99999999999999,4,4,4,4,1,2,2,1,2,2,1,1,1,2,1,1,2,1,4,1,1,3,4,3,2,2,1,4,1,1,2,1,1,1,1,3,2,3,4,3,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,3,2,2,3,3,4,3,2,2,2,2,2,2,4,2,4,2,1,3,2,4,3,3,3,1,4,3,3,3,2,3,3,3,3,3,3,2,1,2,1,1,1,2,3,2,1,2,3,2,1,2,3,3,2,3,1,1,1,1,2,2,3,1,2,2,2,2,3,3,3,3,3,2,4,3,3,3,3,2,1,2,1,3,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,3,4,3,4,3,4,4,1,1,2,1,1,2,4,3,3,3,4,1,2,2,3,3,1,2,4,2,2,4,3,4,4,4,3,1,4,2,1,1,1,1,1,3,5,3,2,2,1,5,5
11.0,150.0,9.0,5.0,1120.0,9.0,31.0,6.0,144.0,47.99999999999999,4,2,2,2,2,2,1,1,2,2,1,1,2,2,2,1,2,1,2,3,3,2,1,2,2,2,2,3,2,2,2,2,2,3,2,3,2,2,2,2,1,2,2,3,2,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,3,2,1,2,3,3,2,1,3,4,8,2,2,1,1,1,2,2,2,4,2,1,3,2,4,3,3,3,1,4,3,3,3,2,3,3,3,3,3,3,2,1,2,1,1,1,2,3,2,1,2,3,2,1,2,3,3,2,3,1,1,1,1,2,2,3,1,2,2,2,2,3,3,3,3,3,2,4,3,3,3,3,2,1,2,1,3,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,3,4,3,4,3,4,4,1,1,2,1,1,2,4,3,3,3,4,1,2,2,3,3,1,2,4,2,2,4,3,4,4,4,3,1,4,2,1,1,1,1,1,3,5,3,2,2,1,5,5
10.25,150.0,9.0,5.0,1120.0,9.0,31.0,6.0,144.0,47.99999999999999,4,1,1,1,1,1,3,3,3,4,2,2,4,2,4,2,2,2,3,4,4,3,1,4,4,4,2,4,4,4,4,4,4,2,2,2,2,2,4,1,3,2,3,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,1,2,12,4,3,3,2,2,2,2,5,2,4,2,1,3,2,4,3,3,3,1,4,3,3,3,2,3,3,3,3,3,3,2,1,2,1,1,1,2,3,2,1,2,3,2,1,2,3,3,2,3,1,1,1,1,2,2,3,1,2,2,2,2,3,3,3,3,3,2,4,3,3,3,3,2,1,2,1,3,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,3,4,3,4,3,4,4,1,1,2,1,1,2,4,3,3,3,4,1,2,2,3,3,1,2,4,2,2,4,3,4,4,4,3,1,4,2,1,1,1,1,1,3,5,3,2,2,1,5,5
9.83,150.0,9.0,5.0,1120.0,9.0,31.0,6.0,144.0,47.99999999999999,4,3,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,3,3,2,3,3,2,3,2,2,2,2,2,4,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,1,1,3,12,6,2,3,2,2,2,1,3,4,4,2,1,3,2,4,3,3,3,1,4,3,3,3,2,3,3,3,3,3,3,2,1,2,1,1,1,2,3,2,1,2,3,2,1,2,3,3,2,3,1,1,1,1,2,2,3,1,2,2,2,2,3,3,3,3,3,2,4,3,3,3,3,2,1,2,1,3,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,3,4,3,4,3,4,4,1,1,2,1,1,2,4,3,3,3,4,1,2,2,3,3,1,2,4,2,2,4,3,4,4,4,3,1,4,2,1,1,1,1,1,3,5,3,2,2,1,5,5
9.92,150.0,9.0,5.0,1120.0,9.0,31.0,6.0,144.0,47.99999999999999,3,3,3,2,1,2,2,3,3,3,2,3,3,2,3,3,3,2,2,4,4,4,4,4,3,2,4,4,2,4,1,2,4,2,1,2,1,1,4,2,3,3,3,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,4,12,2,3,2,2,2,2,3,2,4,2,1,3,2,4,3,3,3,1,4,3,3,3,2,3,3,3,3,3,3,2,1,2,1,1,1,2,3,2,1,2,3,2,1,2,3,3,2,3,1,1,1,1,2,2,3,1,2,2,2,2,3,3,3,3,3,2,4,3,3,3,3,2,1,2,1,3,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,3,4,3,4,3,4,4,1,1,2,1,1,2,4,3,3,3,4,1,2,2,3,3,1,2,4,2,2,4,3,4,4,4,3,1,4,2,1,1,1,1,1,3,5,3,2,2,1,5,5
11.5,150.0,9.0,5.0,1120.0,9.0,31.0,6.0,144.0,47.99999999999999,5,4,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,3,3,3,3,3,2,2,1,1,4,3,1,1,1,1,1,1,3,4,4,4,1,1,1,1,1,1,1,2,2,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,5,5,4,3,6,1,1,1,1,1,1,1,2,4,2,1,3,2,4,3,3,3,1,4,3,3,3,2,3,3,3,3,3,3,2,1,2,1,1,1,2,3,2,1,2,3,2,1,2,3,3,2,3,1,1,1,1,2,2,3,1,2,2,2,2,3,3,3,3,3,2,4,3,3,3,3,2,1,2,1,3,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,3,4,3,4,3,4,4,1,1,2,1,1,2,4,3,3,3,4,1,2,2,3,3,1,2,4,2,2,4,3,4,4,4,3,1,4,2,1,1,1,1,1,3,5,3,2,2,1,3,3
10.17,200.0,2.0,2.0,1140.0,8.0,39.0,1.0,126.66667,25.33333,3,4,2,3,1,1,2,1,2,1,1,1,1,1,2,2,1,3,1,2,3,3,2,2,2,1,1,2,1,1,2,2,1,2,1,3,4,2,3,1,1,1,2,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,2,1,2,1,2,2,2,2,1,2,1,1,3,5,6,10,10,1,1,2,1,1,2,2,1,2,3,3,2,4,4,4,4,4,4,1,3,4,4,2,2,2,2,3,2,2,2,1,4,2,2,3,3,1,3,4,4,4,4,1,4,2,1,1,2,2,2,1,1,1,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,3,3,1,3,3,3,2,1,2,1,2,2,3,3,3,3,4,4,4,2,2,2,2,1,1,3,2,2,2,2,1,1,1,1,1,2,2,3,2,2,4,3,4,4,4,2,1,4,2,1,2,1,1,1,1,2,2,2,3,2,1,1
